letter,question,answer
أ,"من هو أول من سمى القرآن الكريم مصحفاً؟","أبو بكر الصديق"
أ,"ما معنى الميثولوجيا؟","أساطير"
أ,"من هو الوحيد الّذي ذكر بكنيته في القرآن الكريم؟","أبو لهب"
أ,"من هو قائد المسلمين في معركة الجسر؟","أبو عبيدة الثقفي"
أ,"من هو أول من استخدم المصطلح “العالم الثالث”؟","ألفريد سوفي"
أ,"ما هي وحدة القياس الدولية المستخدمة لقياس شدة التيار الكهربائي؟","أمبير"
أ,"ما هو أقوى وأقسى أنواع الحجارة؟","الألماس"
أ,"من هو قائل: سيذكرني قومي إذا جد جدهم وفي الليلة الظلماء يفتقد البدر؟","أبو فراس الحمداني"
أ,"أنسجة داخل مفاصل العظم تسمى؟","أربطة"
أ,"هو نبات يُستخدم في تحضير الزيوت العطرية ويدخل في صناعة المستحضرات الطبية والتجميلية؟","الأزهار"
أ,"شخص ضحى بكل ما يملك من أجل عصابته وفي النهاية خذلوه واتهموه بالخيانة؟","أرثر مورغان"
أ,"من هو مؤسس علم النحو؟","أبو الأسود الدؤلي"
أ,"ما هو الحيوان الذي يخاف من زوجته؟","الأسد"
أ,"ما معنى كلمة الجون في اللغة العربية؟","الأسود والأبيض"
أ,"ما هي أعلى حلقة تقييماً في مسلسل على موقع IMDb؟","أوزيماندياس"
أ,"ما هي السورة في القرآن الكريم التي يطلق عليها أخت الطويلين؟","الأعراف"
أ,"من قائل هذين البيتين: هي الأيام والعِبر وأمرُ الله ينتظرُ، أتيأسُ أن ترى فرحاً فأين الله والقدرُ؟","أبو العتاهية"
أ,"ما هو الحيوان الذي خلقه الله من الشيطان؟","الإبل"
أ,"ما هو اسم البحر الذي يفصل بين قارة أفريقيا وقارة آسيا؟","البحر الأحمر"
أ,"من هم الذين يدخلون الجنة بالسلاسل؟","أسرى الحرب"
أ,"من هو الصحابي الذي قال عنه الرسول صلى الله عليه وسلم: يمشي وحده ويموت وحده ويبعث وحده؟","أبو ذر الغفاري"
أ,"ما هو الهرمون الذي ينظم مستوى السكر في الدم؟","الأنسولين"
أ,"ما هو الاسم الأول لهتلر؟","أدولف"
أ,"ما هو أقوى هرمون في جسم الإنسان؟","الأدرينالين"
أ,"كلمة تطلق على المسافر المنقطع به في سفره؟","ابن السبيل"
أ,"بإستثناء روسيا ماهي أكبر دولة من حيث المساحة في أوروبا؟","أوكرانيا"
أ,"ما هي أول جامعة أُسست في العالم الإسلامي واسمها يبدأ بحرف الألف؟","الأزهر"
أ,"العوائد التي يحصل عليها العاملون في الشركة لقاء عملهم","الأجر"
أ,"في أي عام اندلعت الحرب العالمية الأولى؟","ألف وتسعمائة وأربعة عشر"
أ,"من هو الشخص الذي أدخل في النار ولم تضره؟ (غير سيدنا إبراهيم عليه السلام)","أبو مسلم الخولاني"
أ,"من قتل عمر بن الخطاب رضي الله عنه؟","أبو لؤلؤة المجوسي"
أ,"ما هي الخاصية التي تسمح للماء بالانتقال من الوسط الأقل تركيزاً إلى الأعلى تركيزاً؟","الأسموزية"
أ,"من هو أول البشر وخلقه الله من طين؟","آدم"
أ,"ما هي اللغة الرئيسية في إثيوبيا؟","الأمهرية"
أ,"ما هي أكثر لعبة حققت أرباحاً؟","أونر أوف كينجز"
أ,"ما هو المثل الذي قيل في المأثورات؟","أهل مكة أدرى بشعابها"
أ,"ما هو الشيء الذي يحارب التلوث الصناعي؟","الأشجار"
أ,"من هو أول من شكل المصحف الشريف؟","أبو الأسود الدؤلي"
أ,"ما هو اسم العدد الذي لا يمكن قسمته إلا على نفسه وعلى الواحد؟","الأولي"
أ,"ما هي عاصمة دولة كندا؟","أوتاوا"
أ,"من هي زوجة النبي ﷺ التي أشارت عليه بالحلق والنحر يوم الحديبية؟","أم سلمة"
أ,"من هو العالم اليوناني القديم الذي وضع قانون الطفو؟","أرخميدس"
أ,"ماهو اسم الإعلامي السعودي الذي اشتهر ببرنامجه التلفزيوني (خواطر) والذي كان يعرض في شهر رمضان المبارك","أحمد الشقيري"
أ,"ماهي السورة الكريمة الّتي سميت بأحد غزوات الرسول صلى الله عليه وسلم؟","الأحزاب"
أ,"إنسان يمكنه أن يرى العدو والحبيب بعين واحدة؟","الأعور"
أ,"من هو أوّل إمام في المذاهب الأربعة؟","أبوحنيفة"
أ,"من هو من أبرز شعراء العرب واشتهر بحب شرب الخمر؟","أبو نواس"
أ,"ما اسم فيلم يوسف شاهين الذي يُعتبر من أهم أفلام السينما العربية؟","الأرض"
أ,"صحابي جليل وزعيم الأوس في المدينة، عُرف بحكمته وصوته الجميل في القرآن الكريم..","أُسيد بن الحضير"
أ,"ما هي الأكلة الأكثر تسميناً؟","الأرز"
أ,"ما هو الشريان الرئيسي الذي يضخ الدم من القلب إلى الجسم؟","الشريان الأورطي"
أ,"ما هو اسم قارة أستراليا سابقاً؟","أوقيانوسيا"
أ,"أحد وزراء البترول والثروة المعدنية للمملكة العربية السعودية","أحمد زكي يماني"
أ,"ما هو الشريان الذي يغذي القلب ويعتبر من الشرايين الرئيسية في الجسم؟","الأورطي"
أ,"ما هي الموجات التي يتم استخدامها في أجهزة الرؤية الليلية؟","الأشعة تحت الحمراء"
أ,"ما هو الكوكب الذي يمتلك أكبر ميل محوري؟","أورانوس"
أ,"من هو الصحابي الذي يرجع نسبه إلى قبيلة زهران؟","أبو هريرة"
أ,"ما هي القارة الوحيدة التي لا تحتوي على أي صحراء؟","أوروبا"
أ,"ما هو المصطلح الطبي الذي يعني إزالة عضو من الجسم؟","استئصال"
أ,"ما معنى قسورة في جملة فرت من قسورة؟","الأسد"
أ,"ما هي القارة الثامنة؟","أنتاركتيكا"
أ,"من هو زوج زينب ابنة الرسول رضي الله عنها؟","أبو العاص بن الربيع"
أ,"شجرة يستخرج منها السواك","الأراك"
أ,"ما هو اسم الجهاز الذي تقاس به سرعة الرياح؟","الأنيمومتر"
أ,"رجل ليس من بني آدم وهو من البشر","آدم"
أ,"ما هي عملية زيادة القيمة أو المحتوى أو تعزيز الجودة؟","إثراء"
أ,"من هي المرأة التي تلقب بذات النطاقين؟","أسماء بنت أبي بكر"
أ,"أول من أسلم من الرجال","أبو بكر الصديق"
أ,"ما هو اسم القارة القطبية الجنوبية؟","أنتاركتيكا"
أ,"ما المصطلح الذي يطلق على النقطة التي تكون عندها أقصى درجة في شيء ما؟","أوج"
أ,"ما معنى كلمة أفاض في جملة أفاض العالم في عرض إنجازاته؟","أطال وأكثر"
أ,"كم استمر حكم داود؟","أربعون عامًا"
أ,"ماذا يسمى التفاعل عند اتحاد المادة بالأكسجين أو فقدها للهايدروجين؟","أكسدة"
أ,"ماذا تسمى الطبقة الخارجية من غشاء المخ؟","الأم الجافية"
أ,"يرى صديقه وعدوه بعين واحدة؟","الأعور"
أ,"ماذا يسمى التوقع والرجاء في حدوث الخير في المستقبل؟","أمل"
أ,"ماذا يُطلق على صوت الصفير العالي؟","أزيز"
أ,"من هو مخترع الديناميت الذي ندم على اختراعه بعد أن استعمل في الحرب؟","ألفرد نوبل"
أ,"ما هو الحيوان الذي يصوم مثل ما يصوم الإنسان؟","الأسد"
أ,"من هو صاحب الهدف الحاسم في الدوري الإنجليزي؟","أغويرو"
أ,"ما هو الفن الياباني الذي يعتمد على طي الورق؟","الأوريغامي"
أ,"ما هي أعلى قمة في المجموعة الشمسية؟","أوليمبوس"
أ,"دولة إسلامية عاصمتها طشقند؟","أوزباكستان"
أ,"ما هو ثاني أطول نهر في العالم؟","الأمازون"
أ,"في اللغة والأدب: ما هو الجميل الذي يروعك حسنه؟","أروعي"
أ,"ما هي القارة المسطحة؟","أستراليا"
أ,"ما هو الحيوان الذي يطلق عليه أسامة؟","الأسد"
أ,"أسطورة المراجعات، ملك السحبات، العدو اللدود للأبراج، فمن هو؟","أحمد جفلمب"
أ,"ما لون الكعبة؟","أسود"
أ,"ما هو الاسم القديم لمصر؟","أرض الكنانة"
أ,"ماذا قالوا: هذه بتلك والبادي...؟","أظلم."
أ,"سورة تنتهي جميع آياتها بنفس الحرف","الإخلاص"
أ,"ما هو الاسم الذي يطلق على ناقص العقل ضعيف التصرف في اللغة العربية؟","أحمق"
أ,"بماذا يسمى يوم الأحد في الجاهلية؟","أول"
أ,"من القائل ليت الذي بيني وبينك عامرٌ.. وبيني وبين العالمين خرابُ""؟""","أبو فراس الحمداني"
أ,"ما هي الرياضة التي تُعرَف باسم ""أمّ الألعاب""؟","ألعاب_القوى"
أ,"ما هو أعلى فيلم إيراداً في العالم؟","أفاتار"
أ,"سيل من الجسيمات الصغيرة المشحونة تخرج من الكاثود","الأشعة المهبطية"
أ,"أول دولة ظهر فيها الفول السوداني؟","الأرجنتين"
أ,"ما معنى أوهن؟","أضعف"
ب,"قصيدة تعد من أشهر قصائد المدح النبوي وأنشدها الصحابي كعب بن زهير ليبايعه على الإسلام","البردة"
ب,"ما هو اسم الغزوة الكبرى التي وقعت في رمضان بين المسلمين وقريش؟","بدر"
ب,"ما الأداة التي تُستخدم لتحديد الاتجاهات في الملاحة البحرية؟","بوصلة"
ب,"ما الحيوان المعروف بتزويدنا بالحليب واللحم؟","بقرة"
ب,"ماهي الغدة المسؤولة عن إفراز الأنسولين؟","البنكرياس"
ب,"الحرب التي قيل فيها إنها كادت أن تهلك العرب لولا أن جاء الإسلام؟","البسوس"
ب,"في أي سورة نزلت آخر آية في القرآن؟","البقرة"
ب,"يكثر ظهوره في الليل، ويضرب به المثل في الشؤم وقبح الصورة والصوت، وهو من الطيور","البومة"
ب,"من أهم المكونات العطرية","برغموت"
ب,"ما هو الاسم الأول للرسام بيكاسو؟","بابلو"
ب,"ما هي أول شركة أسسها إيلون ماسك؟","باي بال"
ب,"ما هو العنصر الوحيد السائل في اللافلزات؟","البروم"
ب,"ما هي أكبر دولة في قارة أمريكا الجنوبية؟","البرازيل"
ب,"ما هي العملة الرسمية للمكسيك؟","البيزو المكسيكي"
ب,"ما هو مرادف اللدائن؟","البلاستيك"
ب,"ما هي أكبر بحيرة في العالم من حيث الحجم؟","بحيرة بايكال"
ب,"ما هي أقدم حضارة استقرت في الموطن العربي؟","بلاد الرافدين"
ب,"طائر ولكن لا يطير؟","بطريق"
ب,"ما اسم الدابة التي ركبها رسول الله صلى الله عليه وسلم في حادثة الإسراء والمعراج؟","البراق"
ب,"في أي بلد نشأ أول سيرك في العالم؟","بريطانيا"
ب,"من هو اليوتيوبر السعودي الأكثر رواجاً لعام ٢٠٢٤؟","بندريتا"
ب,"ما هو الحيوان الذي يعرف بقدرته على الطيران والسباحة في نفس الوقت؟","البط"
ب,"من هو العالم الذي قام بتجارب شهيرة على الكهرباء وارتبط اسمه باكتشاف العلاقة بين البرق والكهرباء؟","بنيامين فرانكلين"
ب,"ما هي أول مدينة عربية دخلت إليها الكهرباء؟","بيروت"
ب,"ما العشب الذي يُستخدم غالبًا في صنع شاي مُهَدِّئ؟","بابونج"
ب,"من أي حيوان استوحيت شخصية كراش؟","البندقوط"
ب,"جميع دول قارة أمريكا الجنوبية تتحدث الإسبانية ما عدا دولة واحدة، ما هي؟","البرازيل"
ب,"ما الاسم الشائع للحيوان المُسمّى علميًا Mule؟","بغل"
ب,"ما اسم المكان الذي تُزرع فيه الأشجار المثمرة ويُعتنى بها؟","بستان"
ب,"يوضع لإضافة نكهة على الطعام","بهارات"
ب,"ما اسم المعركة التي وقعت عام 732م بين المسلمين والفرنجة في فرنسا؟","بلاط الشهداء"
ب,"مكون أساسي في الأكل مصدره الهند","بهار"
ب,"ما هي أخفض بقعة في العالم؟","البحر الميت"
ب,"ما اسم بطل لعبة تشابك Tangles (من تطوير أستديو سهم)","باسل"
ب,"الشاعر العباسي الذي مات تحت ضرب السياط؟","بشار بن برد"
ب,"عنصر كيميائي يطلق عليه اسم الذهب الأبيض ويستخدم في صناعة المحركات؟","البلاتين"
ب,"أي نبات أخضر يُستخدم في السلطات ويُعرف برائحته القوية؟","بقدونس"
ب,"أكبر سد في المملكة العربية السعودية؟","سد بيشة"
ب,"ما هي أكبر دولة من حيث إنتاج الفلين؟","البرتغال"
ب,"من هو أول مؤذن في الإسلام؟","بلال بن رباح"
ب,"ما هي عاصمة الأرجنتين؟","بوينس آيرس"
ب,"ما اسم شخصية توم هاردي في فيلم نهوض فارس الظلام؟","بين"
ب,"ما هو الشيء الذي تذبحه وتبكي عليه؟","البصل"
ب,"ما هو معنى اسم الخنساء؟","البقرة الوحشية"
ب,"أي فنان الرسم بالرشاش الشهير يأتي من بريستول؟","بانكسي"
ب,"ما هي عاصمة فرنسا؟","باريس"
ب,"ما هو الذهب الأبيض من المعادن؟","البلاتين"
ب,"ما هي عاصمة أذربيجان؟","باكو"
ب,"نوع من أنواع الطيور لكن لا يطير؟","بطريق"
ب,"من أول من اكتشف علم الفلك؟","البابليين"
ب,"سورة من سور القرآن الكريم يطلق عليها سنام القرآن؟","البقرة"
ب,"شخصية من جازان مرتبطة ببندريتا والمكسيكي؟","براء"
ب,"ما هي أكثر دولة مصدرة للبن في العالم؟","البرازيل"
ب,"من هو مدرب نادي الشباب؟","بيدرو كايشينيا"
ب,"محافظة في الجنوب ماهي؟","الباحة"
ب,"سلسلة أجهزة ألعاب فيديو أحدثت ثورة في عالم الترفيه، انطلق أول إصداراتها عام 1994","بلايستيشن"
ب,"من هو القائد المغولي الذي هزم دولة سلاجقة الروم في معركة كوسه داغ؟","بايجو نويان"
ب,"من أكثر لاعب صناعة للفرص في البريميرليج هذا الموسم؟","برونو"
ب,"من هو مكتشف الكهرباء؟","بنجامين فرانكلين"
ب,"ما هي اللغة الأكثر استخدامًا في تطوير الذكاء الاصطناعي؟","بايثون"
ب,"ما هي الدولة التي فازت بأكبر عدد من بطولات كأس العالم؟","البرازيل"
ب,"ما هي القبيلة التي تسكن وادي تربة؟","البقوم"
ب,"ما هي المقبرة الرئيسية لأهل المدينة المنورة منذ عهد الرسول محمد صلى الله عليه وسلم؟","البقيع"
ب,"ما الجزء من النبات الذي يحتوي على الجنين ويمكن أن ينمو ليشكل نباتًا جديدًا؟","بذرة"
ب,"ما هو النادي الذي كان يلعب له ميسي ونيمار ومبابي؟","باريس سان جيرمان"
ب,"أي عضو من أعضاء جسم الإنسان مسؤول عن إنتاج هرمون الأنسولين؟","البنكرياس"
ب,"طائر من الجوارح، يشبه العقاب في قوته وشراسته، لكنه يتميز بجسمه الطويل النحيف ورشاقته الفائقة","الباشق"
ب,"مصطلح غير رسمي يُستخدم على نطاق واسعٍ للإشارة إلى صناعة الأفلام باللغتين الهندية والأوردو في مدينة مومباي، الهند؟","بوليوود"
ب,"ما عاصمة ألمانيا؟","برلين"
ب,"ما هو الباب الذي لا يمكن فتحه؟","الباب المفتوح"
ب,"ما هو الجبن المصنوع تقليديا من حليب الحمار؟","بولي"
ب,"لقب أطلق على مريم عليها السلام؟","البتول"
ب,"ما هي القبلة الأولى في الإسلام؟","بيت المقدس"
ب,"ماهي عاصمة جمهورية البرازيل الاتحادية؟","برازيليا"
ب,"ما هي عاصمة دولة بنما؟","بنما"
ب,"من هو رجل الأعمال الذي شارك في تأسيس شركة مايكروسوفت؟","بيل غيتس"
ب,"ما هو اللون الذي اكتشف عن طريق كلب قضم حلزون الموركس من الشاطئ؟","بنفسجي"
ب,"ما هو الطائر الذي يشتهر بقدرته على الكلام وتقليد الأصوات؟","ببغاء"
ب,"مدينة وميناء تقع على نهر نوفراية وأيضا هي عاصمة تايلاند","بانكوك"
ب,"مدينة تتميز بطبيعتها الجبلية الخلابة ومناخها المعتدل، وتُشتهر بزراعة أجود أنواع الرمان.","الباحة"
ب,"من هو الحيوان الذي نفخ النار على إبراهيم؟","برص"
ب,"ما هو اسم أقرب نجم إلى كوكب الأرض بعد الشمس؟","بروكسيما سنتوري"
ب,"فاكهة حجمها كبير ولونها أحمر من الداخل ولها بذور؟","بطيخ"
ب,"من هو القائد الذي قاد معركة وادي زهران ضد العثمانيين؟","بخروش بن علاس"
ب,"ما اسم الدابة التي ركبها النبي صلى الله عليه وسلم ليلة الإسراء والمعراج؟","البراق"
ب,"ما هو اسم عاصمة لبنان؟","بيروت"
ب,"من هو أكثر منتخب فاز بكأس العالم؟","البرازيل"
ب,"أين يقع مطار الأمير نايف بن عبدالعزيز؟","بريدة"
ب,"لدي يد وطولي متران وعرضي نصف متر ولوني مختلف حسب الاختيار فمن أكون؟","الباب"
ب,"ما الطائر الليلي الذي يصطاد الفئران والحشرات؟","بوم"
ب,"ما هو العنصر الذي يتسبب بظهور اللهب الأخضر في الألعاب النارية؟","الباريوم"
ب,"هو آلة موسيقية صوتية وترية تُضرب فيها السلاسل بواسطة المطارق وتُعزف باستخدام لوحة المفاتيح؟","البيانو"
ب,"ما هي أكبر إمبراطورية في العالم؟","بريطانيا"
ب,"ما الوحدة المستخدمة لقياس الضغط؟","باسكال"
ب,"ما هو الشيء الذي لا يمكن للسيارة أن تمشي بدونه؟","البنزين"
ب,"ما اسم المسجد الشهير في مدينة إسطنبول الذي كان يُعرف بآيا صوفيا؟","البازيليكا"
ب,"أحد قراء القرآن الكريم، وإمام وخطيب المسجد الحرام في مكة المكرمة","بندر بليلة"
ب,"لونه أحمر حراسه سود وحدوده خضراء؟","بطيخ"
ب,"ما عاصمة العراق؟","بغداد"
ب,"ما هو أكثر الحيوانات عناداً؟","البغل"
ت,"ما الذي كان يطلق عليه قديماً مسامر الركب؟","التمر"
ت,"ما الاسم الطبي للانحناء الشديد في الظهر بسبب خلل في الفقرات؟","تحدّب"
ت,"مدينة وقعت فيها أكبر كارثة نووية شهدها العالم؟","تشيرنوبل"
ت,"طريقة لفصل الماء عن ملح كلوريد الصوديوم؟","التقطير"
ت,"ضائع عن الطريق ضال","تائه"
ت,"ما هو المصطلح الذي يعني انتقاد حاد وإعلان العيوب؟","تنديد"
ت,"ما هو المصطلح الذي يقصد به تقليد الشخص للصفات المحمودة والجذابة الموجودة لدى الآخرين وادعاؤه وجود هذه الصفات لديه؟","تقمص"
ت,"ما هو الاسم العلمي لمرض الزائدة الدودية؟","التهاب الزائدة الدودية"
ت,"ماذا تعني كلمة 'أوفسايد' في كرة القدم؟","تسلل"
ت,"ما هي الفاكهة التي يمكن قراءتها بالعكس دون أن يتغير اسمها؟","توت"
ت,"ما هي أطول دولة في العالم؟","تشيلي"
ت,"من أنواع الحواس؟","التذوق"
ت,"ما هو المصطلح الطبي الذي يشير إلى التهاب الكلى؟","التهاب الكلى"
ت,"صلاة تختص في شهر رمضان؟","تراويح"
ت,"مما خلق آدم؟","تراب"
ت,"ما هو معنى كلمة لغوب في القرآن الكريم؟","التعب"
ت,"كلمة تعني استعمال الحق في غير موضعه او زيادة مضرة","تعسف"
ت,"ما هي السورة التي لقبت بالفاضحة؟","التوبة"
ت,"لفظ بمعنى توسع النعمة وزيادتها","ترف"
ت,"مدينة يقع فيها جبل اللوز","تبوك"
ت,"أطول دولة من دول العالم من الشمال إلى الجنوب؟","تشيلي"
ت,"ما هو أسرع مخلوق بحري؟","التونة"
ت,"ما هو الجزء في الدماغ الذي يفرز هرمونات تتحكم في الغدة النخامية ووظائف مثل الشهية وحرارة الجسم؟","تحت المهاد"
ت,"ما هو الحيوان الذي لا يستطيع إخراج لسانه من فمه؟","التمساح"
ت,"ما المصطلح الذي يُستخدم لوصف محاولة محاكاة تصرفات أو أعمال أو أصوات شخص آخر؟","تقليد"
ت,"أول منتخب عربي حقق انتصار في كأس العالم","تونس"
ت,"ما هي السورة القرآنية التي تخلو من البسملة في بدايتها؟","التوبة"
ت,"ما هو اسم العملية التي يتم فيها تكسير الطعام لإنتاج الطاقة؟","التنفس الخلوي"
ت,"كلمة بمعنى يزول؟","تلاشى"
ت,"كائن أسطوري يظهر في العديد من الثقافات حول العالم","تنين"
ت,"ما الدولة الآسيوية التي اشتهرت تاريخيًا بصناعة النسيج والسجاد في منطقة الأناضول؟","تركيا"
ت,"ما الاسم الذي يُطلق على إعادة فعل أو قول شيء مرة بعد مرة؟","تكرار"
ت,"ما هو الاسم الذي يعني استحضار شكر النعمة؟","تذكار"
ت,"ما اسم المنهج العلمي الذي يقوم على جمع الملاحظات وصياغة الفروض واختبارها بالتجارب؟","تجريبي"
ت,"ما هو الاسم الآخر للون الأزرق الذي يبدأ بحرف التاء؟","تركوازي"
ت,"محافظة في منطقة تبوك؟","تيماء"
ت,"ما هو المصطلح الذي يطلق على أن يجلس المصلي في التشهد الأخير على مقعدته ويخرج رجله اليسرى من جهة يمينه تحت رجله اليمنى؟","التورك"
ت,"سورة في القرآن الكريم ابتدأت باسم ثمرتين","التين"
ت,"ما اسم المكان الذي شرفه رسول الله صلى الله عليه وسلم في العام التاسع للهجرة بالزيارة؟","تبوك."
ت,"ما الاسم الذي يُطلق على تحويل الأفكار أو الأشياء إلى مفاهيم غير ملموسة أو رمزية؟","تجريد"
ت,"ما هو الشيء الذي أسرع من سرعة الضوء؟","التشابك الكمي"
ت,"إفراد الله سبحانه وتعالى بما يختص به من الربوبية والألوهية والأسماء والصفات","توحيد"
ت,"ماذا نسمي صوت الحلي؟","التغتغة"
ت,"من العمليات المؤثرة في الأرض؟","تعرية"
ت,"أكمل الحكمة: (لا تكن ليناً فتعصر، ولا صلبًا ......)؟","فتكسر"
ت,"ما هو اسم الفتاة الذي يعني النخلة الصغيرة؟","تالة"
ت,"ما سبب حدوث الزلازل؟","تحرك الصفائح الأرضية"
ت,"تعتبر من أعلى هضاب العالم؟","التبت"
ت,"ما هي عملية التغيير الثقافي التي تجعل بعض الشعوب مجتمعاً فارسي؟","تفريس"
ت,"قرار إداري ينتقل به العسكري من رتبة إلى رتبة أعلى","ترقية"
ت,"ما القبيلة العربية التي يُنسَب إليها النعمان بن المنذر في العصر الجاهلي؟","تنوخ"
ت,"ما وحدة قياس المجال المغناطيسي؟","تسلا"
ت,"ما معنى كلمة تقهقر؟","تراجع"
ت,"ما اسم الكتاب الشهير الذي ألّفه ابن جرير الطبري؟","تفسير الطبري"
ت,"أكبر قناة في اليوتيوب من حيث المشتركين؟","تي سيريس"
ت,"حساء تايلندي معروف","توم يم"
ت,"ما المدينة السعودية التي تقع شمال غرب المملكة وتُعدّ من أوائل المدن التي دخلها الإسلام بعد مكة؟","تبوك"
ت,"ما هي الكلمة التي تعني الشح أو إمساك اليد شحاً ومن مرادفات البخل؟","تقتير"
ت,"ما هي الكلمة الإيطالية التي تعني المحبة؟","تيامو"
ت,"صلاة يختص بها شهر رمضان المبارك وهي؟","التراويح"
ت,"ما هو العنصر الأساسي الذي يستخدمه اللاعبون لاستكمال حياتهم أو تحسين قدراتهم في الألعاب؟","تحديث"
ت,"ما هو انتقال الشيء من حالة إلى حالة أخرى؟","تحول"
ت,"ما عاصمة تايوان؟","تايبيه"
ت,"ما هو عكس كلمة مبادرة؟","تأخير"
ت,"ما هو الطعام الذي يُعرف بلقب “ذهب الصحراء” ويُستخدم في صناعة الحلويات والمشروبات؟","التمر"
ت,"ما أعلى هضبة في العالم؟","التبت"
ت,"فاكهة أخرجت سيدنا آدم من الجنة؟","التفاح"
ت,"ما هي أسرع المخلوقات البحرية؟","سمك التونة"
ت,"ما هو الموقع الأثري في الجزائر الذي يضم آثار مدينة تيمقاد الرومانية؟","تيمقاد"
ت,"لكي أتناول قلبه ذبحت وجهه، وإذا بجلده سكين جرحني","تين شوكي"
ت,"ما المصطلح الاقتصادي الذي يدل على ارتفاع مستمر في الأسعار وانخفاض قيمة العملة؟","تضخم"
ت,"من وسائل تنمية الثروة النباتية، استنباط حالات جديدة تغطي محصولًا أو تعطي محصولًا أوفر وتكون أكثر مقاومة للإصابة بالأمراض.","تهجين"
ت,"ما هو الحيوان الوحيد الذي يحرك فكه العلوي بينما يبقى فكه السفلي ثابتاً؟","التمساح"
ت,"إثقال إحدى كفتي الميزان حتى تميل","ترجيح"
ت,"ما اسم مخترع شبكة الويب؟","تيم برنرز لي"
ت,"ما هي الكلمة التي تعني التنزه والامتناع عن طلب العطاء؟","تعفف"
ت,"ما هو المصطلح الطبي الذي يشير إلى التهاب الأذن؟","التهاب الأذن"
ت,"ما هو المصطلح الذي يشير إلى عملية تحويل الكود المصدري إلى كود قابل للتنفيذ؟","التجميع"
ت,"ماذا يسمى من قابل الصحابة ولم يقابل الرسول ﷺ؟","تابعي"
