,,,,
أ,سورة في القرآن الكريم يطلق عليها أخت الطويلتين؟,الأعراف,,
أ,غزوة جرح فيها رسول الله صلى الله عليه وسلم وكسرت رباعيته وأشيع فيها أنه قتل؟,أحــد,,
أ,أول من جمع القرآن الكريم بين لوحين؟,أبو بكر الصديق,,
أ,كنية تكنى بها أسد الله حمزة بن عبد المطلب عم رسول الله وسيد الشهداء؟,أبو عمارة,,
أ,من القائل: (ما أحد يحمل محبرةً وإلا للشافعي عليه منّةٌ)؟,أحمد بن حنبل,,
أ,يطلق على صوت المرجل؟,أزيز,,
أ,لقب أطلقه أهل مكة على محمد صلى الله عليه وسلم قبل الإسلام؟,الأمين,,
أ,صحابي جليل فرض له عمر بن الخطاب أكثر مما فرض لابنه؟,أسامة بن زيد,,
أ,الصحابية التي لقبت بـ(مهاجرة الهجرتين)؟,أسماء بنت عميس,,
أ,حيوان يطلق عليه (أسامة),الأسد,,
أ,شاعر جاهلي لقب قبل موته بـ(ذي القروح)؟,امرؤ القيس,,
أ,من القائل: فيـا ليـت الشباب يعـود يومـاً...؟,أبو العتاهية,,
أ,مؤلف كتاب ((لسان العرب)),ابن منظور,,
أ,فرقة من فرق النصارى؟,الأرثوذكس,,
أ,وكالة الأنباء التركية؟,الأناضول,,
أ,الفيلسوف الذي أطلق عليه لقب المعلم الأول؟,أرسطو,,
أ,كنية لآدم - عليه السلام -؟,أبو البشر,,
أ,من القائل: نقل فؤادك حيث شئت من الهوى...؟,أبو تمام,,
أ,اسم للعاصمة الفلبينية (مانيلا) قبل أن تسمى بهذا الاسم؟,أمان الله,,
أ,مؤسس علم الاجتماع من أشهر كتبه(العبر وديوان المبتدأ والخبر)؟,ابن خلدون,,
أ,أول من سمى القرآن الكريم مصحفاً؟,أبو بكر الصديق,,
أ,بحار عربي لقب بأسد البحار؟,أحمد بن ماجد,,
أ,وحدة لقياس شدة التيار الكهربائي؟,الأمبير,,
أ,الاسم الذي كان يطلق على أسبانيا قديماً؟,الأندلس,,
أ,البحر الذي يفصل بين إيطاليا ويوغسلافيا؟,الإدرياتيكي,,
أ,كنية تكنى بها أنثى الثعلب؟,أم عويل,,
أ,من الصحابة لقب بسيد القراء؟,أبي بن كعب,,
أ,قائد موقعة الجسر التي كانت في عهد عمر بن الخطاب؟,أبو عبيدة الثقفي,,
أ,سيدا كهول أهل الجنة أحدهما عمر بن الخطاب. فمن الآخر؟,أبو بكر الصديق,,
أ,اسم يطلق على العملة البرتغالية؟,إسكودو,,
ب,سورة من سور القرآن الكريم يطلق عليها سنام القرآن؟,البقرة,,
ب,عالم مسلم هو أول من اكتشف أن سرعة الضوء أكبر من سرعة الصوت,البيروني,,
ب,الحرب التي حدثت في الجاهلية واستمرت قرابة الأربعين عاماً بين بكر وتغلب؟,البسوس,,
ب,من بحور الشعر العربي؟,البسيط,,
ب,الشاعر العباسي الذي مات تحت ضرب السياط؟,بشار بن برد,,
ب,شاعر أعمى كان دقيقاً في وصف المعارك والحروب؟,بشار بن برد,,
ب,يطلق على الولد الأول؟,البِكر,,
ب,مقياس أو وحدة طول تساوي جزءً واحداً من اثني عشر جزءً من القدم؟,البوصة,,
ب,شاعر عباسي اسمه أبو عبادة الوليد بن عبيد الله الطائي، فما لقبه؟,البحتري,,
ب,عملة إثيوبيا؟,بير,,
ب,وكالة الأنباء البلجيكية؟,بلجا,,
ب,سلسلة جبال تقع بين فرنسا وأسبانيا؟,البرانس,,
ب,ما عاصمة كولومبيا؟,بوجوتا,,
ب,من المعاجم العربية لأبي علي المقالي؟,البارع,,
ب,متحف الإسكندريةعتبر من أقدم المتاحف في العالم حيث أنشئ عام 280 ق.م؟,بطليموس الأول,,
ب,اسم يطلق على نوع من الصقور؟,الباز,,
ب,أول طبيب أجرى عملية زراعة قلب؟,برنارد,,
ب,مدينة أوروبية أقيمت فيها أول دورة أولمبية عام 1900م؟,باريس,,
ب,الفيلسوف الهندي الذي كتب كتاب (كليلة ودمنة)؟,بيدبا,,
ب,لقب أطلق على السيدة مريم أم نبي الله عيسى عليه السلام؟,البتول,,
ب,الاسم القديم الذي كان يطلق على بائع الأقمشة والحرير؟,بزاز,,
ب,امرأة بريطانية تعتبر أول امرأة تقود طائرة الكونكورد؟,باربرا هارمر,,
ب,ما عاصمة تشيكو سلوفاكيا؟,براغ,,
ب,يطلق على أطول عظمة في إبهام القدم؟,البوع,,
ب,مجلة قاهرية أسسها عبد الرحمن البرقوقي عام 1911م؟,البيان,,
ب,دولة في أمريكا اللاتينية هي الدولة الوحيدة التي تتكلم البرتغالية؟,البرازيل,,
ب,أبعد الكواكب عن الشمس تم اكتشافه في مطلع القرن العشرين؟,بلوتو,,
ب,في القرآن الكريم ذكر لفظ الزمهرير فما معناه؟,البرد الشديد,,
ب,الدولة التي يقع فيها مقر وكالة أنباء الخليج؟,البحرين,,
ب,من الدول التي تمتلك حق النقض ((الفيتو)),بريطانيا,,
ت,سورة في القرآن الكريم ابتدأت باسم ثمرتين؟,التين,,
ت,صحابي جليل يكنى بأبي رقية كان نصرانياً فأسلم عام 9 هـ؟,تميم بن أوس الداري,,
