letter,question,answer
أ,"من هو مخترع المصباح الكهربائي؟","إديسون"
أ,"أجسام عظمية بيضاء تظهر في الفم في الطفولة ثم تسقط لتظهر أخرى؟","أسنان"
أ,"ما هو اسم قارة أستراليا سابقاً؟","أوقيانوسيا"
أ,"من هو أول من استخدم المصطلح “العالم الثالث”؟","ألفريد سوفي"
أ,"جزء من الأرض تجتمع فيه صفات طبيعية أو اجتماعية تجعله مختلفة عن المناطق المحيطة بها","إقليم"
أ,"وحدة لقياس شدة التيار؟","أمبير"
أ,"كم يوماً أقام الرسول صلى الله عليه وسلم في قباء عند قدومه إلى المدينة مهاجراً من مكة؟","أربعة أيام."
أ,"بإستثناء روسيا ماهي أكبر دولة من حيث المساحة في أوروبا؟","أوكرانيا"
أ,"ما هو صوت الرصاص؟","أزيز"
أ,"ما هي الكنية التي تكنى بها أنثى الثعلب؟","أم عويل"
أ,"ما هي الشركة التي صممت معالجات ARM؟","أكورن"
أ,"من هو أول البشر وخلقه الله من طين؟","آدم"
أ,"وحدة لقياس شدة التيار الكهربائي؟","الأمبير"
أ,"أين يوجد خزان الوقود في الطائرة؟","الأجنحة"
أ,"ما هو أكثر البحار دفئاً؟","البحر الأحمر"
أ,"من هو الشاعر العباسي الذي اشتهر بشعره الفلسفي وحكمه، ومن أشهر قصائده ""المتنبي""؟","أبو الطيب المتنبي"
أ,"من هو أول خليفة في الإسلام؟","أبو بكر"
أ,"من هو الشخص الوحيد الذي قتله الرسول صلى الله عليه وسلم؟","أبي بن خلف"
أ,"ما هي القارة السمراء؟","أفريقيا"
أ,"ما هو اسم العدد الذي لا يمكن قسمته إلا على نفسه وعلى الواحد؟","الأولي"
أ,"ماذا يسمى مَن لا يُبصر ليلاً ويُبصر نهاراً؟","أعشى"
أ,"ما هو أول نادي سعودي حصل على بطولة خارجية؟","الاتفاق"
أ,"من هو الصحابي الذي استمعت الملائكة اليه وهو يتلو سورة البقرة؟","أسيد بن حضير"
أ,"من هم خاصة الله وأهله؟","أهل القرآن"
أ,"مما تتكون العضلة؟","ألياف عضلية"
أ,"ما اسم القوة التي تُعارض الحركة بين سطحين متلامسين؟","احتكاك"
أ,"ما هي القارة الوحيدة التي لا تحتوي على أي صحراء؟","أوروبا"
أ,"كلمة تطلق على المسافر المنقطع به في سفره؟","ابن السبيل"
أ,"تعد من أخلاق الإسلام الرفيعة التي تعني التروي والنظر في العواقب، وهي من مرادفات الصبر أو الحلم","الأناة"
أ,"ما هي أول جامعة في المملكة العربية السعودية؟","جامعة أم القرى"
أ,"سورة لا يوجد بها حرف الراء وتنتهي جميع آياتها بحرف الدال؟","الإخلاص"
أ,"ما اسم البحر الذي يفصل بين السعودية ومصر؟","البحر الأحمر"
أ,"ماذا يُطلق على الطبقة التي تحمي الأرض من الأشعة فوق البنفسجية؟","الأوزون"
أ,"سورة في القرآن الكريم يطلق عليها أخت الطويلتين؟","الأعراف"
أ,"ما سبب تسمية الدولة الأموية بهذا الاسم؟","نسبة إلى أمية بن عبد شمس بن عبد مناف"
أ,"ماذا تسمى الطبقة الخارجية من غشاء المخ؟","الأم الجافية"
أ,"ما هي العاصمة الإدارية لمنطقة عسير؟","أبها"
أ,"أول دولة ظهر فيها الفول السوداني؟","الأرجنتين"
أ,"من هو محمد بن عبد الرحمن بن فيصل؟","أمير"
أ,"من هو صاحب الهدف الحاسم في الدوري الإنجليزي؟","أغويرو"
أ,"ما هو ذكر الأفعى؟","الأفعوان"
أ,"ماذا تسمى أنثى الحمار؟","أتان"
أ,"ما هو النظام الذي يتناول أحكام الزواج والطلاق والإرث والحضانة؟","الأحوال الشخصية"
أ,"من هو الذي أقسم يوم بدر ألا يغتسل بماء قبل أن يثأر لما سال من دماء المشركين؟","أبو سفيان"
أ,"لماذا سميت أمريكا بهذا الاسم؟","نسبة إلى المستكشف أمريكو"
أ,"طائرات الكاميكازي هي جزء من وحدة تم تشكيلها من قبل الأدميرال؟","أونيشي طاكيجيرو"
أ,"ما هي الدولة الملقبة بمقبرة الإمبراطوريات؟","أفغانستان"
أ,"ما هو اسم الكحل الذي كان يتكحل به النبي؟","الأثمد"
أ,"ما يطلق على الريح الطيب.","أريج"
أ,"ما هو الحيوان الذي يُعرَف باسم ""المدرَّع""؟","أرماديلو"
أ,"ما هو اسم الجهاز الذي تقاس به سرعة الرياح؟","الأنيمومتر"
أ,"من أول رئيس للجزائر بعد الاستقلال؟","أحمد بن بلة"
أ,"من هو الصحابي الجليل الذي قاد جيش المسلمين وهو في سن صغيرة (تتراوح بين 16 إلى 18 عامًا)؟","أسامة بن زيد (رضي الله عنه)"
أ,"ما هي أكبر دولة إسلامية في التاريخ؟","الدولة الأموية"
أ,"من هو باني مدينة بغداد؟","أبو جعفر المنصور"
أ,"من قتل عمر بن الخطاب رضي الله عنه؟","أبو لؤلؤة المجوسي"
أ,"من هو مخترع كلمة (يا بن الحبايب)؟","أبو عبير"
أ,"ماذا تسمى أنثى الثعبان؟","أفعى"
أ,"ما هي الدولة الوحيدة التي لا تحدها أي محيط أو بحر في العالم؟","أفغانستان"
أ,"ما هو البحر الذي يفصل بين آسيا وأفريقيا؟","الأحمر"
أ,"تنسب الدولة الأموية إلى من؟","أمية بن عبد شمس بن عبد مناف"
أ,"من هو المطرب الذي لُقب بـ”كوكب الشرق”؟","أم كلثوم"
أ,"ما هو اسم الكوكب الذي يُطلق عليه لقب الكوكب الأزرق؟","الأرض"
أ,"ماذا تسمى ظاهرة انحناء الضوء عند مروره من وسط شفاف إلى آخر؟","انكسار"
