الحرف,السؤال,الإجابة
أ,صحابي جليل، هو ابن عمة النبي ﷺ، وكان كفيف البصر,أبو أحمد بن جحش (رضي الله عنه)
أ,ما هو اللقب الذي يُطلق على الشاعر أحمد شوقي؟,أمير الشعراء
أ,ما هي السورة الكريمة الّتي سميت بأحد غزوات الرسول صلى الله عليه وسلم؟,الأحزاب
أ,ما هو الكائن الحي الذي له ثلاثة قلوب؟,الأخطبوط
أ,عالم من بني إسرائيل أحضر عرش ملكة سبأ إلى النبي سليمان عليه السلام في لمح البصر,آصف بن برخيا
أ,من هو أول من أسلم من الرجال؟,أبو بكر الصديق (رضي الله عنه)
أ,ما هو المنتخب الّذي ينفرد بالرقم القياسي كأكثر من توج بلقب بطولة كأس أمم أوروبا (اليورو) بواقع 4 مرات؟,إسبانيا
أ,من هو أول من خط بالقلم وخاط الثياب؟,نبي الله إدريس عليه السلام
أ,اسم يُطلق على الرسل أصحاب الشرائع الكبرى الخمسة لكونهم أصحاب الهمة العالية والصبر الشديد في تحمل مشاق الدعوة إلى الله والجهاد في سبيله,أولي العزم
أ,ما هو المصطلح الذي يطلق على بقايا الكائنات الحية المحفوظة في الصخور؟,أحافير
أ,هو التوسع في الكلام بما لا فائدة منه، ويقابله الإيجاز الممدوح,اسهاب
أ,ماذا تسمى الدولة الواسعة والقوية التي تفرض سيطرتها السياسية والعسكرية على أراضٍ وشعوب متنوعة وثقافات مختلفة؟,إمبراطورية
أ,ما اسم الجبال الشهيرة الواقعة في وسط أوروبا وتعد من أهم الوجهات السياحية والثلجية؟,جبال الألب
أ,كلمة تأتي بمعنى اختفى أو غاب بعد أن كان ظاهرًا,أفل
أ,ما اسم الأجسام التي تُنتجها الخلايا البائية وتُهاجم مسببات الأمراض؟,أجسام مضادة
أ,ماذا تسمى ظاهرة انحناء الضوء عند مروره من وسط شفاف إلى آخر؟,انكسار
أ,هي أقدم مؤسسة تعليمية في المملكة العربية السعودية والتي تأسست عام 1949م قبل أن تتحول إلى جامعة بشكل رسمي لاحقا,أم القرى
أ,من هو الصحابي الجليل الذي قاد جيش المسلمين وهو في سن صغيرة (تتراوح بين 16 إلى 18 عامًا)؟,أسامة بن زيد (رضي الله عنه)
أ,ما اسم الأنسجة التي تربط العظام ببعضها البعض في المفاصل؟,أربطة
أ,ما اسم الأنسجة التي تربط العضلات بالعظام؟,أوتار
أ,ما هي المدينة التي يقام فيها حفل جائزة نوبل للسلام؟,أوسلو
أ,ما هي المدن الكبرى التي أنشأها المسلمون بعد الفتوحات مثل البصرة والكوفة؟,الأمصار
أ,ما اسم القوة التي تُعارض الحركة بين سطحين متلامسين؟,احتكاك
أ,كلمة تطلق على المادة التي توصل التيار الكهربائي جزئياً؟,أشباه الموصلات
أ,مالوصف الّذي أطلق على بشرة النبي صلى الله عليه وسلم ويعني الأبيض المُشرَب بحمرة؟,أزهر اللون
أ,ما هي المعركة التي انتصر فيها المسلمون على الروم وكانت أول مواجهة ضدهم في عهد أبي بكر الصديق؟,أجنادين
أ,ما هو أكبر شريان في جسم الإنسان؟,الأبهر (الأورطي)
أ,ما المصطلح الذي يُطلق على التوجه طويل الأمد الذي تتبعه مؤسسة لتحقيق أهدافها الكبرى؟,استراتيجية
أ,صحابي جليل، كان تاجراً، ولما أسلم أراد الجمع بين التجارة والعبادة، فلم يستطع فترك التجارة وتفرغ للعبادة والعلم,أبو الدرداء الأنصاري (رضي الله عنه)
أ,اسم علم مؤنث معناه فوحان العطر الطيب أو فوحان رائحة الأزهار,أريج
أ,من أسماء سورة الفاتحة,أم الكتاب
أ,من هو الصحابي الذي استمعت الملائكة اليه وهو يتلو سورة البقرة؟,أسيد بن حضير
أ,من هي الصحابية الملقبة بذات النطاقين؟,أسماء بنت أبي بكر
أ,جزء من الأرض تجتمع فيه صفات طبيعية أو اجتماعية تجعله مختلفة عن المناطق المحيطة بها,إقليم
أ,ما اسم الفرقة الموسيقية الكبيرة التي تضم آلات متنوعة وتُعزف بها الموسيقى الكلاسيكية؟,أوركسترا
أ,من هو الشخص الوحيد الذي قتله النبي صلى الله عليه وسلم بيده,أُبي بن خلف
أ,ما هي اللغة الرسمية المتحدث بها في دولة إثيوبيا؟,اللغة الأمهرية
أ,ماذا يسمى التفاعل عند اتحاد المادة بالأكسجين أو فقدها للهايدروجين؟,أكسدة
أ,ماذا تسمى كلمة الشكر في أول الكتاب؟,إهداء
